file_a,file_b,cochange_count
frontend/package-lock.json,frontend/package.json,498
poetry.lock,pyproject.toml,312
frontend/src/i18n/declaration.ts,frontend/src/i18n/translation.json,138
frontend/package-lock.json,pyproject.toml,86
frontend/package.json,pyproject.toml,85
README.md,pyproject.toml,60
README.md,frontend/package.json,59
README.md,frontend/package-lock.json,57
Development.md,containers/dev/compose.yml,56
Development.md,pyproject.toml,56
Development.md,README.md,56
Development.md,frontend/package-lock.json,53
Development.md,frontend/package.json,53
containers/dev/compose.yml,frontend/package-lock.json,53
containers/dev/compose.yml,frontend/package.json,53
containers/dev/compose.yml,pyproject.toml,53
README.md,containers/dev/compose.yml,50
docker-compose.yml,pyproject.toml,48
containers/dev/compose.yml,docker-compose.yml,47
Development.md,docker-compose.yml,47
docker-compose.yml,frontend/package-lock.json,46
docker-compose.yml,frontend/package.json,46
README.md,docker-compose.yml,45
docs/modules/usage/how-to/cli-mode.md,docs/modules/usage/how-to/headless-mode.md,43
openhands/server/session/agent_session.py,openhands/server/session/session.py,42
README.md,docs/modules/usage/how-to/headless-mode.md,39
openhands/controller/agent_controller.py,tests/unit/test_agent_controller.py,38
README.md,docs/modules/usage/how-to/cli-mode.md,37
docs/package-lock.json,docs/package.json,37
openhands/runtime/base.py,openhands/server/session/agent_session.py,36
README.md,docs/modules/usage/installation.mdx,36
openhands/integrations/github/github_service.py,openhands/integrations/gitlab/gitlab_service.py,35
docs/modules/usage/how-to/cli-mode.md,docs/modules/usage/installation.mdx,35
docs/modules/usage/how-to/headless-mode.md,docs/modules/usage/installation.mdx,35
docs/modules/usage/installation.mdx,pyproject.toml,32
docs/modules/usage/how-to/cli-mode.md,frontend/package-lock.json,31
docs/modules/usage/how-to/cli-mode.md,frontend/package.json,31
docs/modules/usage/how-to/cli-mode.md,pyproject.toml,31
docs/modules/usage/how-to/headless-mode.md,frontend/package-lock.json,31
docs/modules/usage/how-to/headless-mode.md,frontend/package.json,31
docs/modules/usage/how-to/headless-mode.md,pyproject.toml,31
docs/modules/usage/installation.mdx,frontend/package-lock.json,31
docs/modules/usage/installation.mdx,frontend/package.json,31
openhands/core/config/llm_config.py,openhands/llm/llm.py,30
Development.md,docs/modules/usage/installation.mdx,30
enterprise/poetry.lock,poetry.lock,28
enterprise/poetry.lock,pyproject.toml,28
openhands/llm/llm.py,tests/unit/test_llm.py,28
Development.md,docs/modules/usage/how-to/cli-mode.md,28
Development.md,docs/modules/usage/how-to/headless-mode.md,28
containers/dev/compose.yml,docs/modules/usage/how-to/cli-mode.md,28
containers/dev/compose.yml,docs/modules/usage/how-to/headless-mode.md,28
containers/dev/compose.yml,docs/modules/usage/installation.mdx,28
docs/i18n/fr/docusaurus-plugin-content-docs/current/usage/installation.mdx,docs/i18n/zh-Hans/docusaurus-plugin-content-docs/current/usage/installation.mdx,28
tests/integration/mock/CodeActAgent/test_write_simple_script/prompt_001.log,tests/integration/mock/CodeActAgent/test_write_simple_script/prompt_002.log,28
openhands/server/routes/manage_conversations.py,openhands/server/session/agent_session.py,27
docs/i18n/fr/docusaurus-plugin-content-docs/current/usage/how-to/cli-mode.md,docs/i18n/fr/docusaurus-plugin-content-docs/current/usage/how-to/headless-mode.md,27
docs/i18n/fr/docusaurus-plugin-content-docs/current/usage/how-to/cli-mode.md,docs/i18n/zh-Hans/docusaurus-plugin-content-docs/current/usage/how-to/cli-mode.md,27
docs/i18n/fr/docusaurus-plugin-content-docs/current/usage/how-to/cli-mode.md,docs/i18n/zh-Hans/docusaurus-plugin-content-docs/current/usage/how-to/headless-mode.md,27
docs/i18n/fr/docusaurus-plugin-content-docs/current/usage/how-to/headless-mode.md,docs/i18n/zh-Hans/docusaurus-plugin-content-docs/current/usage/how-to/cli-mode.md,27
docs/i18n/fr/docusaurus-plugin-content-docs/current/usage/how-to/headless-mode.md,docs/i18n/zh-Hans/docusaurus-plugin-content-docs/current/usage/how-to/headless-mode.md,27
docs/i18n/zh-Hans/docusaurus-plugin-content-docs/current/usage/how-to/cli-mode.md,docs/i18n/zh-Hans/docusaurus-plugin-content-docs/current/usage/how-to/headless-mode.md,27
tests/integration/mock/CodeActAgent/test_edits/prompt_002.log,tests/integration/mock/CodeActAgent/test_edits/prompt_003.log,27
openhands/controller/agent_controller.py,openhands/server/session/session.py,26
openhands/server/routes/manage_conversations.py,tests/unit/test_conversation.py,26
docs/i18n/fr/docusaurus-plugin-content-docs/current/usage/how-to/cli-mode.md,docs/i18n/fr/docusaurus-plugin-content-docs/current/usage/installation.mdx,26
docs/i18n/fr/docusaurus-plugin-content-docs/current/usage/how-to/cli-mode.md,docs/i18n/zh-Hans/docusaurus-plugin-content-docs/current/usage/installation.mdx,26
docs/i18n/fr/docusaurus-plugin-content-docs/current/usage/how-to/headless-mode.md,docs/i18n/fr/docusaurus-plugin-content-docs/current/usage/installation.mdx,26
docs/i18n/fr/docusaurus-plugin-content-docs/current/usage/how-to/headless-mode.md,docs/i18n/zh-Hans/docusaurus-plugin-content-docs/current/usage/installation.mdx,26
docs/i18n/fr/docusaurus-plugin-content-docs/current/usage/installation.mdx,docs/i18n/zh-Hans/docusaurus-plugin-content-docs/current/usage/how-to/cli-mode.md,26
docs/i18n/fr/docusaurus-plugin-content-docs/current/usage/installation.mdx,docs/i18n/zh-Hans/docusaurus-plugin-content-docs/current/usage/how-to/headless-mode.md,26
docs/i18n/zh-Hans/docusaurus-plugin-content-docs/current/usage/how-to/cli-mode.md,docs/i18n/zh-Hans/docusaurus-plugin-content-docs/current/usage/installation.mdx,26
docs/i18n/zh-Hans/docusaurus-plugin-content-docs/current/usage/how-to/headless-mode.md,docs/i18n/zh-Hans/docusaurus-plugin-content-docs/current/usage/installation.mdx,26
evaluation/bird/run_infer.py,evaluation/humanevalfix/run_infer.py,26
evaluation/gaia/run_infer.py,evaluation/humanevalfix/run_infer.py,26
tests/integration/mock/CodeActAgent/test_edits/prompt_002.log,tests/integration/mock/CodeActAgent/test_write_simple_script/prompt_002.log,26
tests/integration/mock/CodeActAgent/test_edits/prompt_003.log,tests/integration/mock/CodeActAgent/test_write_simple_script/prompt_002.log,26
frontend/src/hooks/mutation/use-save-settings.ts,frontend/src/hooks/query/use-settings.ts,25
evaluation/logic_reasoning/run_infer.py,evaluation/mint/run_infer.py,25
tests/integration/mock/CodeActAgent/test_ipython/prompt_001.log,tests/integration/mock/CodeActAgent/test_ipython/prompt_002.log,25
tests/integration/mock/CodeActAgent/test_ipython/prompt_002.log,tests/integration/mock/CodeActAgent/test_write_simple_script/prompt_002.log,25
openhands/server/routes/manage_conversations.py,openhands/server/session/session.py,24
Development.md,docs/i18n/fr/docusaurus-plugin-content-docs/current/usage/installation.mdx,24
Development.md,docs/i18n/zh-Hans/docusaurus-plugin-content-docs/current/usage/installation.mdx,24
README.md,docs/i18n/fr/docusaurus-plugin-content-docs/current/usage/how-to/cli-mode.md,24
README.md,docs/i18n/fr/docusaurus-plugin-content-docs/current/usage/how-to/headless-mode.md,24
README.md,docs/i18n/fr/docusaurus-plugin-content-docs/current/usage/installation.mdx,24
README.md,docs/i18n/zh-Hans/docusaurus-plugin-content-docs/current/usage/how-to/cli-mode.md,24
README.md,docs/i18n/zh-Hans/docusaurus-plugin-content-docs/current/usage/how-to/headless-mode.md,24
README.md,docs/i18n/zh-Hans/docusaurus-plugin-content-docs/current/usage/installation.mdx,24
docs/i18n/fr/docusaurus-plugin-content-docs/current/usage/how-to/cli-mode.md,docs/modules/usage/how-to/cli-mode.md,24
docs/i18n/fr/docusaurus-plugin-content-docs/current/usage/how-to/cli-mode.md,docs/modules/usage/how-to/headless-mode.md,24
docs/i18n/fr/docusaurus-plugin-content-docs/current/usage/how-to/headless-mode.md,docs/modules/usage/how-to/cli-mode.md,24
docs/i18n/fr/docusaurus-plugin-content-docs/current/usage/how-to/headless-mode.md,docs/modules/usage/how-to/headless-mode.md,24
docs/i18n/fr/docusaurus-plugin-content-docs/current/usage/installation.mdx,docs/modules/usage/installation.mdx,24
docs/i18n/fr/docusaurus-plugin-content-docs/current/usage/installation.mdx,pyproject.toml,24
docs/i18n/zh-Hans/docusaurus-plugin-content-docs/current/usage/how-to/cli-mode.md,docs/modules/usage/how-to/cli-mode.md,24
docs/i18n/zh-Hans/docusaurus-plugin-content-docs/current/usage/how-to/cli-mode.md,docs/modules/usage/how-to/headless-mode.md,24
