path,commits,insertions,deletions,churn,exists_at_head
frontend/package-lock.json,525,140189,122948,263137,True
poetry.lock,748,72601,55231,127832,True
docs/package-lock.json,39,29342,29342,58684,False
docs/yarn.lock,13,28123,28123,56246,False
frontend/src/i18n/translation.json,244,33582,17628,51210,True
frontend/pnpm-lock.yaml,7,17503,17503,35006,False
enterprise/poetry.lock,37,21402,6482,27884,True
evaluation/regression/cases/client-server/outputs/langchains_agent/workspace/client/package-lock.json,1,0,18455,18455,False
evaluation/regression/cases/react-todo/outputs/langchains_agent/workspace/todo-app/package-lock.json,1,0,18455,18455,False
agent/regression/cases/client-server/workspace/client/package-lock.json,1,18455,0,18455,False
agent/regression/cases/react-todo/workspace/todo-app/package-lock.json,1,18455,0,18455,False
openhands/integrations/vscode/package-lock.json,3,9141,9141,18282,False
openhands-cli/uv.lock,15,7360,7360,14720,False
uv.lock,2,10587,41,10628,True
Pipfile.lock,6,4440,4440,8880,False
docs/openapi.json,3,3300,5391,8691,False
evaluation/swe_bench/scripts/docker/all-swebench-full-instance-images.txt,2,4652,2294,6946,False
tests/unit/test_agent_skill.py,24,2729,2012,4741,False
frontend/__tests__/components/features/microagent-management/microagent-management.test.tsx,21,3618,1108,4726,True
evaluation/benchmarks/swe_bench/scripts/docker/all-swebench-full-instance-images.txt,1,2294,2358,4652,True
tests/runtime/test_bash.py,35,2903,1434,4337,True
openhands/controller/agent_controller.py,137,2380,1539,3919,True
tests/unit/test_agent_controller.py,56,2794,952,3746,False
tests/integration/mock/CodeActAgent/test_edits/prompt_004.log,17,2094,1630,3724,False
tests/unit/test_runtime.py,24,1846,1846,3692,False
openhands/server/routes/manage_conversations.py,119,2477,934,3411,True
opendevin/runtime/plugins/agent_skills/agentskills.py,22,1714,1689,3403,False
openhands/llm/llm.py,158,1790,1433,3223,True
tests/unit/app_server/test_skill_loader.py,5,1910,1217,3127,True
openhands/resolver/resolve_issue.py,37,1578,1443,3021,True
tests/integration/mock/CodeActAgent/test_edits/prompt_005.log,10,1884,1086,2970,False
opendevin/controller/agent_controller.py,107,1723,1178,2901,False
tests/unit/app_server/test_live_status_app_conversation_service.py,15,2754,114,2868,True
enterprise/tests/unit/test_saas_settings_store.py,8,1498,1320,2818,True
tests/e2e/test_e2e_workflow.py,2,1388,1388,2776,False
enterprise/allhands-realm-github-provider.json.tmpl,2,2771,0,2771,True
tests/unit/test_get_repository_microagents.py,4,1652,1083,2735,False
openhands/server/session/manager.py,43,1316,1386,2702,False
frontend/__tests__/routes/settings.test.tsx,24,1444,1249,2693,True
openhands/integrations/github/github_service.py,56,1322,1362,2684,True
frontend/package.json,522,1401,1270,2671,True
README.md,251,1334,1248,2582,True
